,bank_no,rack_no,serial_dt,current,voltage,avg_temp,dtime
219,1,14,1639179300,18,957,81.12301505,2021-12-10 23:35
220,1,15,1639179300,17.9,957,81.37299771,2021-12-10 23:35
221,1,16,1639179300,18.2,958,81.62298038,2021-12-10 23:35
222,1,17,1639179300,18.2,958,81.87296304,2021-12-10 23:35
223,1,18,1639179300,17.8,957,82.1229457,2021-12-10 23:35
224,1,19,1639179300,17.8,957,82.37292837,2021-12-10 23:35
225,1,20,1639179300,18.2,958,82.62291103,2021-12-10 23:35
226,1,21,1639179300,18.1,958,82.8728937,2021-12-10 23:35
227,1,22,1639179300,17.9,958,83.12287636,2021-12-10 23:35
228,1,23,1639179300,18.5,958,83.37285903,2021-12-10 23:35
229,1,24,1639179300,18,957,83.62284169,2021-12-10 23:35
230,1,25,1639179300,17.9,958,83.87282435,2021-12-10 23:35
231,1,26,1639179300,18.1,957,84.12280702,2021-12-10 23:35
232,1,27,1639179300,18.2,957,84.37278968,2021-12-10 23:35
233,1,28,1639179300,18.2,957,84.62277235,2021-12-10 23:35
234,1,1,1639179600,18,960,84.87275501,2021-12-10 23:40
235,1,2,1639179600,18.3,960,85.12273767,2021-12-10 23:40
236,1,3,1639179600,18,960,85.37272034,2021-12-10 23:40
237,1,4,1639179600,17.4,961,85.622703,2021-12-10 23:40
238,1,5,1639179600,18.2,960,85.87268567,2021-12-10 23:40
239,1,6,1639179600,18.1,961,86.12266833,2021-12-10 23:40
240,1,7,1639179600,18,960,86.372651,2021-12-10 23:40
241,1,8,1639179600,18,960,86.62263366,2021-12-10 23:40
242,1,9,1639179600,18,960,86.87261632,2021-12-10 23:40
243,1,10,1639179600,18.2,960,87.12259899,2021-12-10 23:40
244,1,11,1639179600,17.8,960,87.37258165,2021-12-10 23:40
245,1,12,1639179600,18.1,961,87.62256432,2021-12-10 23:40
246,1,13,1639179600,17.8,960,87.87254698,2021-12-10 23:40
247,1,14,1639179600,18,960,88.12252964,2021-12-10 23:40
248,1,15,1639179600,17.9,960,88.37251231,2021-12-10 23:40
249,1,16,1639179600,18.1,961,88.62249497,2021-12-10 23:40
250,1,17,1639179600,18.1,961,88.87247764,2021-12-10 23:40
251,1,18,1639179600,17.8,960,89.1224603,2021-12-10 23:40
252,1,19,1639179600,17.8,960,89.37244297,2021-12-10 23:40
253,1,20,1639179600,18.1,961,89.62242563,2021-12-10 23:40
254,1,21,1639179600,18.1,960,89.87240829,2021-12-10 23:40
255,1,22,1639179600,17.8,960,90.12239096,2021-12-10 23:40
256,1,23,1639179600,18.4,961,90.37237362,2021-12-10 23:40
257,1,24,1639179600,18,960,90.62235629,2021-12-10 23:40
258,1,25,1639179600,17.8,961,90.87233895,2021-12-10 23:40
259,1,26,1639179600,18.1,960,91.12232161,2021-12-10 23:40
260,1,27,1639179600,18.1,960,91.37230428,2021-12-10 23:40
261,1,28,1639179600,18.1,960,91.62228694,2021-12-10 23:40
262,1,1,1639179900,18,963,91.87226961,2021-12-10 23:45
263,1,2,1639179900,18.2,963,92.12225227,2021-12-10 23:45
264,1,3,1639179900,18,963,92.37223494,2021-12-10 23:45
265,1,4,1639179900,17.4,964,92.6222176,2021-12-10 23:45
266,1,5,1639179900,18.1,964,92.87220026,2021-12-10 23:45
267,1,6,1639179900,18,964,93.12218293,2021-12-10 23:45
268,1,7,1639179900,18,963,93.37216559,2021-12-10 23:45
269,1,8,1639179900,17.9,963,93.62214826,2021-12-10 23:45
270,1,9,1639179900,17.9,963,93.87213092,2021-12-10 23:45
271,1,10,1639179900,18.1,963,94.12211358,2021-12-10 23:45
272,1,11,1639179900,17.8,963,94.37209625,2021-12-10 23:45
273,1,12,1639179900,17.9,964,94.62207891,2021-12-10 23:45
274,1,13,1639179900,17.8,963,94.87206158,2021-12-10 23:45
275,1,14,1639179900,17.9,963,95.12204424,2021-12-10 23:45
276,1,15,1639179900,17.9,963,95.37202691,2021-12-10 23:45
277,1,16,1639179900,18,964,95.62200957,2021-12-10 23:45
278,1,17,1639179900,18,964,95.87199223,2021-12-10 23:45
279,1,18,1639179900,17.8,963,96.1219749,2021-12-10 23:45
280,1,19,1639179900,17.8,963,96.37195756,2021-12-10 23:45
281,1,20,1639179900,18,963,96.62194023,2021-12-10 23:45
282,1,21,1639179900,18,963,96.87192289,2021-12-10 23:45
283,1,22,1639179900,17.8,964,97.12190555,2021-12-10 23:45
284,1,23,1639179900,18.3,964,97.37188822,2021-12-10 23:45
285,1,24,1639179900,18,963,97.62187088,2021-12-10 23:45
286,1,25,1639179900,17.8,963,97.87185355,2021-12-10 23:45
287,1,26,1639179900,18.1,963,98.12183621,2021-12-10 23:45
288,1,27,1639179900,18,963,98.37181888,2021-12-10 23:45
289,1,28,1639179900,18.1,963,98.62180154,2021-12-10 23:45
290,1,1,1639180200,17.9,966,98.8717842,2021-12-10 23:50
291,1,2,1639180200,18.1,966,99.12176687,2021-12-10 23:50
292,1,3,1639180200,18,966,99.37174953,2021-12-10 23:50
293,1,4,1639180200,17.5,967,99.6217322,2021-12-10 23:50
294,1,5,1639180200,18,966,99.87171486,2021-12-10 23:50
295,1,6,1639180200,18,967,100.1216975,2021-12-10 23:50
296,1,7,1639180200,18,966,100.3716802,2021-12-10 23:50
297,1,8,1639180200,17.9,966,100.6216629,2021-12-10 23:50
298,1,9,1639180200,17.7,966,100.8716455,2021-12-10 23:50
299,1,10,1639180200,18.1,966,101.1216282,2021-12-10 23:50
300,1,11,1639180200,17.9,966,101.3716108,2021-12-10 23:50
301,1,12,1639180200,17.8,967,101.6215935,2021-12-10 23:50
302,1,13,1639180200,17.8,966,101.8715762,2021-12-10 23:50
303,1,14,1639180200,17.8,966,102.1215588,2021-12-10 23:50
304,1,15,1639180200,17.9,966,102.3715415,2021-12-10 23:50
305,1,16,1639180200,17.8,966,102.6215242,2021-12-10 23:50
306,1,17,1639180200,17.9,967,102.8715068,2021-12-10 23:50
307,1,18,1639180200,17.9,966,103.1214895,2021-12-10 23:50
308,1,19,1639180200,17.9,966,103.3714722,2021-12-10 23:50
309,1,20,1639180200,17.9,966,103.6214548,2021-12-10 23:50
310,1,21,1639180200,18,966,103.8714375,2021-12-10 23:50
311,1,22,1639180200,17.7,967,104.1214202,2021-12-10 23:50
312,1,23,1639180200,18.1,967,104.3714028,2021-12-10 23:50
313,1,24,1639180200,18,966,104.6213855,2021-12-10 23:50
314,1,25,1639180200,17.8,967,104.8713681,2021-12-10 23:50
315,1,26,1639180200,18.2,966,105.1213508,2021-12-10 23:50
316,1,27,1639180200,17.8,966,105.3713335,2021-12-10 23:50
317,1,28,1639180200,18,966,105.6213161,2021-12-10 23:50
